Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.0892982324345256,-0.0534290945517866,-0.0281807915202745,0,0,0,0.756245533149595,0.000668301082898205,-1.35139440859027E-07,-9.2399289163842E-09,0.000691671010327581,-6.28522357628318E-06,0.000928603004586102,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/chest.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/chest.STL,,herkulex_0601-10;MotorMountsChest-4;MotorMountsChest-2;herkulex_0601-9;herkulex_0601-8;herkulex_0201-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,0.000463690787653695,-0.0109798760579415,3.10387747101681E-08,0,0,0,0.0059406321110728,7.14031423861985E-07,-1.00193578163672E-08,3.26838990075462E-12,1.81302717415532E-06,-3.65212289150348E-13,2.04030832261223E-06,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/neck.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/neck.STL,,Head Assembly-1/Neck v1-1,Origin_neckturn,Axis_neckturn,neckturn,fixed,0.0893,0.0172404124827796,0.0487349892896403,1.5707963267949,0,0,chest,0,0,0,,,,,,,,,,,,
head,-0.00747358995694229,-0.00106377627301606,-0.041897594774668,0,0,0,0.366246371096136,0.000801491998977516,9.63503133472914E-07,3.67282857488562E-05,0.000912509657481221,-5.15732301957726E-07,0.0013811753071444,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/head.STL,,Head Assembly-1/herkulex_0201-1;Head Assembly-1/Head Mounting Bracket v1-1;Head Assembly-1/Head v1-1;Head Assembly-1/LCD-1;Head Assembly-1/Head Lid v1-1,Origin_headnod,Axis_headnod,headnod,fixed,0,0,0,1.5707963267949,1.5707963267949,0,neck,0,0,0,,,,,,,,,,,,
shoulder_left,-0.014960508361357,0.000457326070403673,-0.00139500021576919,0,0,0,0.172050390082777,4.32641801289025E-05,-9.09540798571111E-07,-2.68639813140369E-08,5.80350724535564E-05,6.20306258704346E-08,7.27906245287119E-05,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/shoulder_left.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/shoulder_left.STL,,ARM_V3_Assembly-1/herkulex_0601-1;ARM_V3_Assembly-1/Part2^ARM_V3_Assembly-1,Origin_shoulderspin_left,,shoulderspin_left,fixed,0.2055,0.01858,-0.002605,3.1416,-1.5708,0,chest,0,0,0,,,,,,,,,,,,
bicep_left,-0.0251588309985075,0.00108749050750701,-0.0217063873028336,0,0,0,0.232287327837173,6.06098632163626E-05,3.20356380319867E-06,-1.29351628857436E-05,0.000144811374253378,5.50577168533813E-07,0.000117148394663347,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/bicep_left.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/bicep_left.STL,,ARM_V3_Assembly-1/Part4^ARM_V3_Assembly-1;ARM_V3_Assembly-1/herkulex_0601-2;ARM_V3_Assembly-1/Part5^ARM_V3_Assembly-1;ARM_V3_Assembly-1/16-24Ring-for-arms-1,Origin_biceplift_left,,biceplift_left,fixed,-0.12,0.006,0.0485,0,0,3.1416,shoulder_left,0,0,0,,,,,,,,,,,,
forearm_left,0.010986750570082,-0.00743343689945741,0.00101633253953506,0,0,0,0.0700934249374858,1.37578087198906E-05,-1.16166485196791E-06,-5.30142815762329E-08,1.54385338688329E-05,-3.5482705262719E-07,2.41047602202332E-05,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/forearm_left.STL,,ARM_V3_Assembly-1/herkulex_0201-3;ARM_V3_Assembly-1/Part9^ARM_V3_Assembly-1;ARM_V3_Assembly-1/Part6^ARM_V3_Assembly-1,Origin_elbow_left,Axis_elbow_left,elbow_left,fixed,0.04648,0,-0.0198,3.14159263868863,0,1.5707963267949,bicep_left,0,0,0,,,,,,,,,,,,
wrist_left,0.0167881965857987,0.000188627661062674,4.11019158784963E-06,0,0,0,0.0359196656987808,4.51461591731325E-06,1.00915257076814E-07,6.00348080908362E-10,6.71811421908292E-06,-3.24127425236609E-12,7.60175630822655E-06,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/wrist_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/wrist_left.STL,,ARM_V3_Assembly-1/herkulex_0201-4;ARM_V3_Assembly-1/Part10^ARM_V3_Assembly-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,fixed,0,0.0639,0,1.5707963267949,0,-1.5707963267949,forearm_left,0,0,0,,,,,,,,,,,,
hand_left,5.82648050479091E-05,0.0054275285804502,-0.00057794369396949,0,0,0,0.0198788406763806,7.15929224631277E-06,1.35075804141351E-08,-9.89218394102592E-09,5.02025629829375E-06,2.91423359598026E-07,5.44465003650597E-06,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/hand_left.STL,0.752941176470588,0.752941176470588,1,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/hand_left.STL,,ARM_V3_Assembly-1/Wrist Servo Mount-1,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,fixed,-0.0252040713263239,-9.15181271650689E-05,-0.000523479401451143,-1.58827404918805,-1.55819288360229,-3.14127531143594,wrist_left,0,0,0,,,,,,,,,,,,
shoulder_right,-0.0151034623334599,0.00048882494525147,0.0025466105752932,0,0,0,0.0933140477910859,2.31532261557606E-05,-2.39939101317106E-07,2.65955334884805E-08,3.1267063271778E-05,-6.14537856544514E-08,3.98010856684277E-05,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/shoulder_right.STL,,mirrored-ARM_V3_Assembly-1/Mirrorherkulex_0601-3;mirrored-ARM_V3_Assembly-1/MirrorPart2^mirrored-ARM_V3_Assembly-2,Origin_shoulderspin_right,,shoulderspin_right,fixed,-0.0269,0.01858,-0.002605,3.1459,-1.5708,0,chest,0,0,0,,,,,,,,,,,,
bicep_right,0.0796648768553722,0.0258275567543078,-0.0483390802875837,0,0,0,0.15299700445975,4.99566908852529E-05,2.91598120482247E-06,2.30425085672802E-05,0.000111124356282393,-1.36254174424389E-06,8.0181466520422E-05,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FullAssembly_AVA_2_0.SLDASM/meshes/bicep_right.STL,,mirrored-ARM_V3_Assembly-1/Mirror16-24Ring-for-arms-2;mirrored-ARM_V3_Assembly-1/MirrorPart4^mirrored-ARM_V3_Assembly-2;mirrored-ARM_V3_Assembly-1/MirrorPart5^mirrored-ARM_V3_Assembly-2;mirrored-ARM_V3_Assembly-1/Mirrorherkulex_0601-4,Origin_biceplift_right,,biceplift_right,fixed,0,0.0302,0,0,-0.26691,3.1416,shoulder_right,0,0,0,,,,,,,,,,,,
