Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.0892982324333988,-0.053429094552495,-0.0281807915202828,0,0,0,0.756245533173823,0.000668301082902053,-1.35139442448087E-07,-9.23992909326493E-09,0.000691671010331909,-6.28522357580434E-06,0.000928603004594313,0,0,0,0,0,0,package://ava2/meshes/chest.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ava2/meshes/chest.STL,,herkulex_0601-10;MotorMountsChest-4;MotorMountsChest-2;herkulex_0601-9;herkulex_0601-8;herkulex_0201-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,0.000463690787653695,-0.0109798760579415,3.10387747101681E-08,0,0,0,0.0059406321110728,7.14031423861984E-07,-1.00193578163673E-08,3.2683899007445E-12,1.81302717415532E-06,-3.65212289139724E-13,2.04030832261223E-06,0,0,0,0,0,0,package://ava2/meshes/neck.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://ava2/meshes/neck.STL,,Head Assembly-1/Neck v1-1,Origin_neckturn,Axis_neckturn,neckturn,fixed,0.0893,0.0172404124827796,0.0487349892896403,1.5707963267949,0,0,chest,0,0,0,,,,,,,,,,,,
head,-0.00747358995694232,-0.00106377627301601,-0.0418975947746681,0,0,0,0.366246371096135,0.000801491998965333,9.63503133475385E-07,3.67282857488529E-05,0.000912509657467154,-5.15732297134153E-07,0.00138117530714628,0,0,0,0,0,0,package://ava2/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ava2/meshes/head.STL,,Head Assembly-1/herkulex_0201-1;Head Assembly-1/Head Mounting Bracket v1-1;Head Assembly-1/Head v1-1;Head Assembly-1/LCD-1;Head Assembly-1/Head Lid v1-1,Origin_headnod,Axis_headnod,headnod,fixed,0,0,0,1.5707963267949,1.5707963267949,0,neck,0,0,0,,,,,,,,,,,,
shoulder_left,-0.0149605083613853,0.000457326070820708,-0.00139500021566141,0,0,0,0.17205039008692,4.32641801303137E-05,-9.09540798470869E-07,-2.68639812934254E-08,5.80350724536638E-05,6.2030625638709E-08,7.27906245300312E-05,0,0,0,0,0,0,package://ava2/meshes/shoulder_left.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ava2/meshes/shoulder_left.STL,,ARM_V3_Assembly-1/herkulex_0601-1;ARM_V3_Assembly-1/Part2^ARM_V3_Assembly-1,Origin_shoulderspin_left,,shoulderspin_left,fixed,0.2055,0.01858,-0.002605,3.14159,-1.5708,0,chest,0,0,0,,,,,,,,,,,,
bicep_left,-0.0251588309982343,0.00108749050740217,-0.021706387302586,0,0,0,0.232287327840107,6.06098632170725E-05,3.20356380312613E-06,-1.2935162886357E-05,0.000144811374253953,5.50577168921673E-07,0.000117148394662791,0,0,0,0,0,0,package://ava2/meshes/bicep_left.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://ava2/meshes/bicep_left.STL,,ARM_V3_Assembly-1/Part4^ARM_V3_Assembly-1;ARM_V3_Assembly-1/herkulex_0601-2;ARM_V3_Assembly-1/Part5^ARM_V3_Assembly-1;ARM_V3_Assembly-1/16-24Ring-for-arms-1,Origin_biceplift_left,Axis_biceplift_left,biceplift_left,fixed,-0.12,0.006,0.0485,0,0,3.14159265358979,shoulder_left,0,0,0,,,,,,,,,,,,
forearm_left,0.010986750570082,-0.0074334368994575,0.00101633253953504,0,0,0,0.0700934249374856,1.37578087198906E-05,-1.16166485196793E-06,-5.30142815762548E-08,1.54385338688329E-05,-3.54827052627167E-07,2.41047602202332E-05,0,0,0,0,0,0,package://ava2/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ava2/meshes/forearm_left.STL,,ARM_V3_Assembly-1/herkulex_0201-3;ARM_V3_Assembly-1/Part9^ARM_V3_Assembly-1;ARM_V3_Assembly-1/Part6^ARM_V3_Assembly-1,Origin_elbow_left,Axis_elbow_left,elbow_left,fixed,0.04648,0,-0.0198,3.14159263868863,0,1.5707963267949,bicep_left,0,0,0,,,,,,,,,,,,
wrist_left,0.0167881965857987,0.000188627661062563,4.11019158778198E-06,0,0,0,0.0359196656987806,4.51461591731321E-06,1.00915257076793E-07,6.00348080887901E-10,6.71811421908287E-06,-3.24127422969624E-12,7.60175630822651E-06,0,0,0,0,0,0,package://ava2/meshes/wrist_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ava2/meshes/wrist_left.STL,,ARM_V3_Assembly-1/herkulex_0201-4;ARM_V3_Assembly-1/Part10^ARM_V3_Assembly-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,fixed,0,0.0639,0,1.5707963267949,0,-1.5707963267949,forearm_left,0,0,0,,,,,,,,,,,,
hand_left,5.82648034118186E-05,0.00542752858188089,-0.000577943696027011,0,0,0,0.019878840672065,7.15929224571394E-06,1.35075802076567E-08,-9.89218361390556E-09,5.02025629762316E-06,2.91423359336921E-07,5.44465003605237E-06,0,0,0,0,0,0,package://ava2/meshes/hand_left.STL,0.752941176470588,0.752941176470588,1,1,0,0,0,0,0,0,package://ava2/meshes/hand_left.STL,,ARM_V3_Assembly-1/Wrist Servo Mount-1,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,fixed,-0.0252040713263239,-9.15181271650689E-05,-0.000523479401451143,-1.58827404918805,-1.55819288360229,-3.14127531143594,wrist_left,0,0,0,,,,,,,,,,,,
shoulder_right,-0.0151034623332778,0.000488824944822015,0.00254661057518065,0,0,0,0.0933140477887859,2.31532261548967E-05,-2.39939101643637E-07,2.65955333547331E-08,3.12670632715097E-05,-6.14537853515695E-08,3.98010856675438E-05,0,0,0,0,0,0,package://ava2/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ava2/meshes/shoulder_right.STL,,mirrored-ARM_V3_Assembly-1/Mirrorherkulex_0601-3;mirrored-ARM_V3_Assembly-1/MirrorPart2^mirrored-ARM_V3_Assembly-2,Origin_shoulderspin_right,,shoulderspin_right,fixed,-0.0269,0.01858,-0.002605,3.14159,-1.5708,0,chest,0,0,0,,,,,,,,,,,,
bicep_right,0.0796648768553722,0.0258275567543078,-0.0483390802875837,0,0,0,0.15299700445975,4.99566908852529E-05,2.91598120482247E-06,2.30425085672802E-05,0.000111124356282393,-1.36254174424389E-06,8.0181466520422E-05,0,0,0,0,0,0,package://ava2/meshes/bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ava2/meshes/bicep_right.STL,,mirrored-ARM_V3_Assembly-1/Mirror16-24Ring-for-arms-2;mirrored-ARM_V3_Assembly-1/MirrorPart4^mirrored-ARM_V3_Assembly-2;mirrored-ARM_V3_Assembly-1/MirrorPart5^mirrored-ARM_V3_Assembly-2;mirrored-ARM_V3_Assembly-1/Mirrorherkulex_0601-4,Origin_biceplift_right,Axis_biceplift_right,biceplift_right,fixed,0,0.030199999999934,0,0,-0.266912354008724,3.14159265358979,shoulder_right,0,0,0,,,,,,,,,,,,
