Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,-1.32770039102744E-06,0.000264952576802708,0.0263455785567531,0,0,0,1.00632727289094,0.000711647332076361,-1.35110888423875E-07,-9.26200804479521E-09,0.000787833187386961,-6.46237132945818E-06,0.00104142086511815,0,0,0,0,0,0,package://master.SLDASM/meshes/chest.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/chest.STL,,chest_upper-1;herkulex_0601-1;herkulex_0601-2;herkulex_0601-3;chest_middle-1;60a_breaker-1;herkulex_0201-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,0.000463690787653748,0.00902012394205855,3.1038774717107E-08,0,0,0,0.00594063211107276,7.14031423861982E-07,-1.0019357816368E-08,3.26838990195874E-12,1.81302717415531E-06,-3.65212289735317E-13,2.04030832261222E-06,0,0,0,0,0,0,package://master.SLDASM/meshes/neck.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://master.SLDASM/meshes/neck.STL,,neck-1,Origin_neckturn,Axis_neckturn,neckturn,continuous,0,-0.0453281774166154,0.0833000000000035,1.57079632679497,0,-3.14159265358979,chest,0,1,0,,,,,,,,,,,,
head,0.000575282707726062,0.0464752738351476,-0.0059974784952835,0,0,0,0.541447558934612,0.00105004440328834,-1.46393267556005E-09,4.20338333548513E-07,0.00206250671247608,-1.08983325220082E-05,0.0016621626233685,0,0,0,0,0,0,package://master.SLDASM/meshes/head.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://master.SLDASM/meshes/head.STL,,head_assm-1,Origin_headnod,Axis_headnod,headnod,continuous,0,0.0199999999999965,0,-3.14159265358972,0,-3.14159265358979,neck,1,0,0,,,,,,,,,,,,
shoulder_left,0.0379678486295234,0.000769141892547509,-2.3921350680231E-06,0,0,0,0.186599858925645,5.1788769859594E-05,-3.61314738268737E-07,-2.69385070406835E-09,6.55209131392439E-05,2.51731242864885E-07,7.4889012129826E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/shoulder_left.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://master.SLDASM/meshes/shoulder_left.STL,,herkulex_0601-16;shoulder_spin_left-1;Gearbox_Assembly-3/24T_Carrier-1;Gearbox_Assembly-3/Planetary_Cap-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,continuous,0.0895930270334383,-0.049988176702159,0.0336999979412967,3.14159265358979,0,0,chest,1,0,0,,,,,,,,,,,,
bicep_left,0.0702445744717522,-0.00493535473331107,0.0408818595994135,0,0,0,0.225660360811761,6.79526913664327E-05,2.38606908318749E-06,-2.04705020467628E-05,0.000124093030524157,1.36497275351099E-06,8.85078159866483E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/bicep_left.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/bicep_left.STL,,16-24RingArms-1;front_shoulder_left-1;back_shoulder_left-1;herkulex_0601-17,Origin_biceplift_left,Rotation Axis <herkulex_0601-16>,biceplift_left,continuous,0.0555069729665617,0,0,0,-1.04719755119659,-3.14159265358979,shoulder_left,0,1,0,,,,,,,,,,,,
forearm_left,-0.0116018774124073,0.000299738702708913,0.0422470684559473,0,0,0,0.122044769199831,2.03774107353512E-05,7.27688655940745E-08,1.08071532355928E-06,3.66920316612724E-05,-4.87769665840458E-07,2.60110395621534E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/forearm_left.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/forearm_left.STL,,outer_bicep_left-1;inner_bicep_left-1;herkulex_0201-7,Origin_elbow_left,Axis_elbow_left,elbow_left,continuous,0.0894604242109254,-0.00599999999998415,0.0516499999999964,-1.04719755119659,0,-1.5707963267949,bicep_left,0,1,0,,,,,,,,,,,,
wrist_left,-0.0335929920215776,-1.70693949338996E-06,-5.99015047686724E-05,0,0,0,0.0865850219831518,1.05400734755791E-05,-6.0986966241825E-10,2.78063364240151E-07,1.94215268634895E-05,7.78157666732539E-12,1.6986442186816E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/wrist_left.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/wrist_left.STL,,wrist_spin_left-1;herkulex_0201-6,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,continuous,0,0,0.0626303651163351,1.5707963267949,1.5707963267949,0,forearm_left,1,0,0,,,,,,,,,,,,
hand_left,-0.00056637549143726,-0.0317565211530178,-0.000150157265082683,0,0,0,0.0191418505278656,5.58898394365592E-06,-2.67130618664632E-07,-9.35095775103642E-09,4.89993795806891E-06,-1.34555589392518E-08,7.22273954531742E-06,0,0,0,0,0,0,package://master.SLDASM/meshes/hand_left.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/hand_left.STL,,Wrist v1-3,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,continuous,-0.0479,0,-0.00039405,1.5708,1.5708,0,wrist_left,1,0,0,,,,,,,,,,,,
shoulder_right,0.0379680901896612,2.22684718995114E-06,-0.000769167485713963,0,0,0,0.186598114013894,5.17881121347345E-05,2.55946711252434E-09,3.61258827349477E-07,7.48884639184527E-05,2.521377586301E-07,6.5520457766022E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/shoulder_right.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/shoulder_right.STL,,shoulder_spin_right-1;herkulex_0601-14;Gearbox_Assembly-4/24T_Carrier-1;Gearbox_Assembly-4/Planetary_Cap-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,continuous,-0.0895930270334385,-0.049988176702158,0.0336999979412964,1.5707963267949,0,3.14159265358979,chest,1,0,0,,,,,,,,,,,,
bicep_right,0.0705270203826781,-0.0049353204920799,0.0403926583599051,0,0,0,0.225660394659947,6.56410845898622E-05,2.37507236544953E-06,-1.91358692093229E-05,0.000124093055129362,1.38405645655653E-06,9.08195336787968E-05,0,0,0,0,0,0,package://master.SLDASM/meshes/bicep_right.STL,1,1,1,1,0,0,0,0,0,0,package://master.SLDASM/meshes/bicep_right.STL,,16-24RingArms-2;front_shoulder_right-1;back_shoulder_right-1;herkulex_0601-15,Origin_biceplift_right,Rotation Axis <herkulex_0601-14>,biceplift_right,continuous,0.0555069729665654,0,0,1.57079632679489,0,-1.04719755119659,shoulder_right,0,1,0,,,,,,,,,,,,
