Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.064279,-0.037011,-0.02564,0,0,0,0.51796,0.0005771,-1.3375E-07,-9.1536E-09,0.00059415,-6.8845E-06,0.0008604,0,0,0,0,0,0,package://SwappingURDF/meshes/chest.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-0.00046369,0.0090201,-3.1039E-08,0,0,0,0.0054006,6.4912E-07,9.1085E-09,2.9713E-12,1.6482E-06,3.3201E-13,1.8548E-06,0,0,0,0,0,0,package://SwappingURDF/meshes/neck.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/neck.STL,,neck-1,Origin_neck_turn2,Axis_neck_turn2,neck_turn,revolute,0,-0.010944,0.082162,1.5708,0,0,chest,0,1,0,0,0,0,0,,,,,,,,
head,0.00080348012417214,0.0534510885341687,-0.0036143021027961,0,0,0,0.496658763776637,0.0010287563957024,-8.67862818616096E-09,2.09572066323146E-07,0.00203886300157394,-1.09198580315922E-05,0.00164695377435873,0,0,0,0,0,0,package://SwappingURDF/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/head.STL,,head-1,Origin_head_nod2,Axis_head_nod2,head_nod,revolute,0,0.02,0,0,0,0,neck,1,0,0,0,0,0,0,,,,,,,,
shoulder_left,0.036702135253922,-0.000181870664772605,0.00194083539475779,0,0,0,0.11165520855183,3.26341545652402E-05,1.00030741771673E-07,-1.08634533039376E-07,4.28556042109112E-05,-2.76297938617659E-07,3.92138045604685E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/shoulder_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left2,Axis_shoulderspin_left2,shoulderspin_left,revolute,0.089501,-0.015604,0.032462,1.5708,0,0,chest,1,0,0,0,0,0,0,,,,,,,,
bicep_left,0.00537023920253907,-0.0766847667002765,0.00460157339160713,0,0,0,0.145739770828731,7.04776795612585E-05,-5.59630806175732E-08,5.66191302191047E-09,3.48834492828899E-05,2.73140489027362E-06,8.67056713359699E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/bicep_left.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://SwappingURDF/meshes/bicep_left.STL,,bicep_left-1,Origin_armlift_left2,Axis_armlift_left2,armlift_left,revolute,0.05,0,0,0,0,0,shoulder_left,0,0,1,0,0,0,0,,,,,,,,
elbow_left,0.00447918456306245,-0.0390367081909198,-0.0109934774651598,0,0,0,0.0696997574554248,2.39361627172391E-05,-3.5131382857211E-07,-5.24893156555651E-08,1.53465441420604E-05,-1.14911302964384E-06,1.36573095632137E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/elbow_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/elbow_left.STL,,elbow_left-1,Origin_elbowcurl_left2,Axis_elbowcurl_left2,elbowcurl_left,revolute,0,-0.10319,0.0065,0,0,0,bicep_left,1,0,0,0,0,0,0,,,,,,,,
forearm_left,0.000433912797090596,-0.031147303631852,4.08044720961315E-06,0,0,0,0.0358643400810453,6.71245982602498E-06,-1.0096802833609E-07,1.80908843475121E-12,4.50563090198979E-06,5.97773545808378E-10,7.59655047197246E-06,0,0,0,0,0,0,package://SwappingURDF/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/forearm_left.STL,,forearm_left-1,Origin_handspin_left2,Axis_handspin_left2,handspin_left,revolute,0.0054911,-0.06238,0,0,0,0,elbow_left,0,1,0,0,0,0,0,,,,,,,,
wrist_left,0.000792393950674153,-0.0353737870987647,0.00280466875220461,0,0,0,0.0452220700022358,8.63943366795227E-06,-1.57071283313935E-07,-1.95394301660935E-08,1.27152788682435E-05,-3.35607511948422E-07,1.07231243681285E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/wrist_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/wrist_left.STL,,wrist_left-1,Origin_wristcurl_left2,Axis_wristcurl_left2,wristcurl_left,revolute,0,-0.05,0,0,0,0,forearm_left,1,0,0,0,0,0,0,,,,,,,,
shoulder_right,-0.0367867048688758,-0.000266584850597348,0.00145740866209888,0,0,0,0.111655209278659,3.26341547019089E-05,-1.00149634268116E-07,3.53611684818866E-07,4.28556042638667E-05,2.76297898895794E-07,3.92138047350205E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right2,Axis_shoulderspin_right2,shoulderspin_right,revolute,-0.089497,-0.015604,0.032462,1.5708,0,0,chest,1,0,0,0,0,0,0,,,,,,,,
bicep_right,-0.00548029799675617,-0.0767949641379226,0.00444226354427806,0,0,0,0.145739112705213,7.0476807793333E-05,5.61714009935351E-08,-5.73424715931229E-09,3.48834328932938E-05,2.73128855492095E-06,8.67046405929377E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/bicep_right.STL,,bicep_right-1,Origin_armlift_right2,Axis_armlift_right2,armlift_right,revolute,-0.05,0,0,0,0,0,shoulder_right,0,0,1,0,0,0,0,,,,,,,,
elbow_right,-0.00458955420495752,-0.0390365429562165,-0.0109932153031413,0,0,0,0.0697003946438699,2.39361976751456E-05,3.51399398173786E-07,5.25574526488749E-08,1.53466417627746E-05,-1.14914807694618E-06,1.36572035667433E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/elbow_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/elbow_right.STL,,elbow_right-1,Origin_elbowcurl_right2,Axis_elbowcurl_right2,elbowcurl_right,revolute,0,-0.1033,0.0063,0,0,0,bicep_right,1,0,0,0,0,0,0,,,,,,,,
forearm_right,0.000148059451727675,-0.0311473036104171,-4.08044228085219E-06,0,0,0,0.0358643400623008,6.71245984133165E-06,1.00967982653384E-07,1.84930376245118E-12,4.50563089351917E-06,-5.97767237549783E-10,7.59655048227918E-06,0,0,0,0,0,0,package://SwappingURDF/meshes/forearm_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/forearm_right.STL,,forearm_right-1,Origin_handspin_right2,Axis_handspin_right2,handspin_right,revolute,-0.0056011,-0.06238,0,0,0,0,elbow_right,0,1,0,0,0,0,0,,,,,,,,
wrist_right,-6.91028900941942E-05,-0.0354288981145789,-0.00192635301599262,0,0,0,0.0452222890466553,8.63941386072275E-06,1.55838663437599E-07,6.13844714801871E-11,1.27675221079676E-05,-7.7653341091979E-08,1.06711569832198E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/wrist_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/wrist_right.STL,,wrist_right-1,Origin_wristcurl_right2,Axis_wristcurl_right2,wristcurl_right,revolute,0,-0.05,0,0,0,0,forearm_right,1,0,0,0,0,0,0,,,,,,,,
waist,-4.31361210778691E-08,-0.0234755752726476,-0.026049863904514,0,0,0,0.0611615287088306,0.000114715638927737,1.42434165229896E-10,9.9187701513491E-11,0.000110281529216247,-6.66880885481691E-06,4.69040180855928E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/waist.STL,1,1,1,1,0,0,0,0,0,0,package://SwappingURDF/meshes/waist.STL,,waist-1,Origin_waistspin2,Axis_waistspin2,waistspin,revolute,0,-0.015604,-0.096138,1.5708,0,0,chest,0,1,0,0,0,0,0,,,,,,,,
abdominalmotors,0.000174665023591911,0.0176769516843184,-0.0219919398784802,0,0,0,0.195912121751896,9.4917459231208E-05,6.96731583307856E-07,-1.7949572361973E-08,7.82537929863942E-05,3.49689321252974E-06,7.78783957234944E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/abdominalmotors.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/abdominalmotors.STL,,abdominal_motors-1,Origin_waistlean2,Axis_waistlean2,waistlean,revolute,0,-0.06899,-0.0039,0,0,0,waist,0,0,1,0,0,0,0,,,,,,,,
pelvis,0.000305814096462576,-0.0700588956747065,-0.0153445880942709,0,0,0,0.194609765587927,9.18291939149481E-05,-1.76630998056816E-06,-3.8726785426679E-07,6.96811860233498E-05,-8.85204047249174E-07,8.68874056512852E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/pelvis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/pelvis.STL,,pelvis-1,Origin_torsobend2,Axis_torsobend2,torsobend,revolute,0,0,0.0039,0,0,0,abdominalmotors,1,0,0,0,0,0,0,,,,,,,,
hiplift_left,0.0490258828792634,0.0160663120639818,-0.0159744848481076,0,0,0,0.0995250123743458,5.05544531504874E-05,-4.2603640809972E-06,1.3325989063094E-06,4.78936757211616E-05,1.47016122823338E-06,3.30349316335167E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/hiplift_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/hiplift_left.STL,,hiplift_left-1,Origin_hiplift_left2,Axis_hiplift_left2,hiplift_left,revolute,0.0216,-0.0922,0,0,0,0,pelvis,0,0,1,0,0,0,0,,,,,,,,
hiprotate_left,0.000371721010711479,-0.0245214988727122,-0.0142789423985216,0,0,0,0.0908859899237988,3.08463534079889E-05,-8.41256102366978E-11,-6.9139597216118E-07,3.93996593055487E-05,-2.44017871876086E-07,2.3046259109016E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/hiprotate_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/hiprotate_left.STL,,hiprotate_left-1,Origin_hiprotate_left2,Axis_hiprotate_left2,hiprotate_left,continuous,0.052956,-0.00715,-0.0014585,0,0,0,hiplift_left,0,1,0,,,,,,,,,,,,
thigh_left,-0.0145675301720398,-0.13592908688958,-5.67194289844558E-07,0,0,0,0.137378554874298,0.00014808071898738,-1.63141654846658E-05,-1.60941185131013E-09,5.58195502382643E-05,-1.73818741183167E-09,0.000171021242818992,0,0,0,0,0,0,package://SwappingURDF/meshes/thigh_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/thigh_left.STL,,thigh_left-1,Origin_leglift_left2,Axis_leglift_left2,leglift_left,revolute,0,-0.02665,0,0,0,0,hiprotate_left,1,0,0,0,0,0,0,,,,,,,,
calf_left,-0.0160007669286902,-0.089824748659872,0.00220656134574289,0,0,0,0.0956498712976374,0.000422592493372738,-3.87929159852984E-06,1.1241326478322E-07,5.30015520086443E-05,2.07894546768639E-06,0.00042698761346969,0,0,0,0,0,0,package://SwappingURDF/meshes/calf_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/calf_left.STL,,calf_left-1,Origin_knee_left2,Axis_knee_left2,knee_left,revolute,0,-0.182,0,0,0,0,thigh_left,1,0,0,0,0,0,0,,,,,,,,
foot_left,-0.0191018154838921,-0.0259472969596639,0.0120981971632576,0,0,0,0.0849888192434385,9.35123903759125E-05,-2.01748027134376E-07,2.00858818616436E-06,0.000102901460941037,4.97783638243948E-06,2.5622263282691E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/foot_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/foot_left.STL,,foot_left-1,Origin_ankle_left2,Axis_ankle_left2,ankle_left,revolute,0,-0.209,0,0,0,0,calf_left,1,0,0,0,0,0,0,,,,,,,,
hiplift_right,-0.0490256483910393,0.0160664399123552,-0.0159740379084392,0,0,0,0.0995268617733542,5.05561981186045E-05,4.26123277702088E-06,-1.33240369968858E-06,4.7896737772178E-05,1.46988554660309E-06,3.30379614617406E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/hiplift_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/hiplift_right.STL,,hiplift_right-1,Origin_hiplift_right2,Axis_hiplift_right2,hiplift_right,revolute,-0.0216,-0.0922,0,0,0,0,pelvis,0,0,1,0,0,0,0,,,,,,,,
hiprotate_right,-0.000371897467482497,-0.0245210787465047,-0.0142789940905173,0,0,0,0.090886207578529,3.08465134655196E-05,-8.54649035463017E-11,6.90765044267844E-07,3.93998265888536E-05,-2.44039967223106E-07,2.30462673274617E-05,0,0,0,0,0,0,package://SwappingURDF/meshes/hiprotate_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SwappingURDF/meshes/hiprotate_right.STL,,hiprotate_right-1,Origin_hiprotate_right2,Axis_hiprotate_right2,hiprotate_right,revolute,-0.052956,-0.00715,-0.0014585,0,0,0,hiplift_right,0,1,0,0,0,0,0,,,,,,,,
