Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.000135656568234769,0.00237934778167712,0.0338209871223485,0,0,0,0.479726397006515,0.000495330458905136,4.46392092110063E-06,-5.15390392872024E-08,0.000546663625843435,-2.11880205389285E-06,0.000719868680660974,0,0,0,0,0,0,package://Humanoid_URDF/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,0.000463690787653679,0.00902012394205851,3.1038774717107E-08,0,0,0,0.00594063211107279,7.14031423861984E-07,-1.00193578163669E-08,3.26838990136341E-12,1.81302717415532E-06,-3.65212289464019E-13,2.04030832261223E-06,0,0,0,0,0,0,package://Humanoid_URDF/meshes/neck.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/neck.STL,,neck-1,Origin_neckturn,Axis_neckturn,neckturn,continuous,0,-0.0453,0.0831,1.5708,0,0,chest,0,1,0,,,,,,,,,,,,
head,0.00804866348059731,-0.0447484502518483,-0.000205917010387891,0,0,0,0.394341322903989,0.000763425567278004,-3.33528590785223E-05,-1.01351795373676E-06,0.0013030259179287,-5.36690778859306E-07,0.000863580311256873,0,0,0,0,0,0,package://Humanoid_URDF/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/head.STL,,head-1,Origin_headnod,Axis_headnod,headnod,continuous,0,0.02,0,0,-1.5708,0,neck,0,0,1,,,,,,,,,,,,
shoulder_left,-0.00389447899991313,-0.00049682223745201,0.0253442019367078,0,0,0,0.197219674731417,0.000105627601817092,-3.2742640195277E-06,3.15133991753652E-06,0.000121951090664048,-2.84894107495198E-06,0.000166845175439281,0,0,0,0,0,0,package://Humanoid_URDF/meshes/shoulder_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,continuous,0.0921,-0.051,0.033,-1.5708,0,-1.5708,chest,0,0,1,,,,,,,,,,,,
bicep_left,0.00260127693089551,0.0712492211601561,-0.00151949962446182,0,0,0,0.129222482336228,6.70815107828268E-05,-2.8230886755832E-06,-1.51019018719881E-09,8.37829581115902E-05,7.08139818664999E-07,9.58407464980717E-05,0,0,0,0,0,0,package://Humanoid_URDF/meshes/bicep_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/bicep_left.STL,,bicep_left-1,Origin_biceplift_left,Axis_biceplift_left,biceplift_left,continuous,0,0,0.062476610561002,1.5707963267949,0,3.14159265358979,shoulder_left,1,0,0,,,,,,,,,,,,
forearm_left,-0.00226338017782459,-0.0519546439430537,-5.92574448658317E-05,0,0,0,0.0596002990474708,2.68528473300462E-05,-3.29236643297416E-07,-1.2834360674568E-09,2.38570964743956E-05,-5.60140664333622E-08,3.15383018778022E-05,0,0,0,0,0,0,package://Humanoid_URDF/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/forearm_left.STL,,forearm_left-1,Origin_elbow_left,Axis_elbow_left,elbow_left,continuous,0.00317499999999847,0.103304276059129,0,0,-1.5707963267949,0,bicep_left,1,0,0,,,,,,,,,,,,
wrist_left,-0.00152146667681022,-0.0276426736485872,0.000115338799611349,0,0,0,0.0541322074488871,1.61733978528101E-05,-3.05165360219943E-07,6.89491663476034E-10,1.01313079065358E-05,9.19003510538519E-11,1.61328623785762E-05,0,0,0,0,0,0,package://Humanoid_URDF/meshes/wrist_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/wrist_left.STL,,wrist_left-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,continuous,-0.00240000000000003,-0.0787000000000003,-0.0127999999982001,3.14159265358979,0,3.14159265358979,forearm_left,0,1,0,,,,,,,,,,,,
hand_left,8.94966543739176E-05,0.0805799031360248,-0.00345666952466565,0,0,0,0.096892060613452,3.07955608410215E-05,-9.92458606584015E-08,-9.71323786490938E-09,1.71973885038782E-05,-1.73178735002994E-06,3.26465806812939E-05,0,0,0,0,0,0,package://Humanoid_URDF/meshes/hand_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/hand_left.STL,,hand_left-1,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,continuous,0,-0.0428000000000002,0.000124999999999396,3.13301245342782,-1.57079232717222,-0.00858020528131218,wrist_left,0,0.0171595632243,-0.999852763847735,,,,,,,,,,,,
gripper_left,0.0122008952528579,0.0244705015917694,0.00172483795757492,0,0,0,0.0132238158471976,5.75385834485264E-06,-3.19574418659566E-07,1.07490582442366E-11,4.0969349883067E-06,-1.27813718674684E-12,3.06625639532594E-06,0,0,0,0,0,0,package://Humanoid_URDF/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/gripper_left.STL,,gripper_left-1,Origin_gripper_left,Axis_gripper_left,gripper_left,continuous,-0.00012499975293525,0.117035130167948,-0.0030731306896986,1.57056328390166,-1.55363592088544,-1.57056324958431,hand_left,0,0,0.999999999992002,,,,,,,,,,,,
shoulder_right,-0.00389447899959798,0.000496822237510894,-0.0253442019372676,0,0,0,0.197219674733325,0.000105627601817094,3.27426401953392E-06,-3.15133991744825E-06,0.000121951090664024,-2.84894107495893E-06,0.000166845175439258,0,0,0,0,0,0,package://Humanoid_URDF/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,continuous,-0.0921,-0.051,0.033,1.5708,0,1.5708,chest,0,0,1,,,,,,,,,,,,
