Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.000135656568234785,0.00237934778167711,0.0338209871223486,0,0,0,0.479726397006515,0.000495330458905136,4.46392092110063E-06,-5.15390392871983E-08,0.000546663625843435,-2.11880205389283E-06,0.000719868680660974,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,0.000463690787653675,0.00902012394205852,3.1038774717107E-08,0,0,0,0.00594063211107279,7.14031423861984E-07,-1.00193578163668E-08,3.26838990135099E-12,1.81302717415532E-06,-3.65212289459101E-13,2.04030832261223E-06,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/neck.STL,1,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/neck.STL,,neck-1,Origin_neckturn,Axis_neckturn,neckturn,continuous,0,-0.0453,0.0831,1.5707963267949,0,0,chest,0,1,0,,,,,,,,,,,,
head,0.00804866348059732,-0.0447484502518482,-0.000205917010387837,0,0,0,0.394341322903988,0.000763425567203831,-3.33528590785203E-05,-1.01351795373754E-06,0.00130302591793046,-5.36690779594915E-07,0.000863580311180936,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/head.STL,,head-1,Origin_headnod,Axis_headnod,headnod,continuous,0,0.02,0,3.1416,-1.5708,0,neck,0,0,1,,,,,,,,,,,,
shoulder_left,-0.00389447899991314,-0.000496822237451996,0.0253442019367078,0,0,0,0.197219674731417,0.000105627601817092,-3.27426401952771E-06,3.15133991753651E-06,0.000121951090664048,-2.84894107495198E-06,0.000166845175439281,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/shoulder_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,continuous,0.0921,-0.051,0.033,-1.5708,0,-1.5708,chest,0,0,1,,,,,,,,,,,,
bicep_left,0.00260127693082226,0.0712492211597842,-0.00151949962394936,0,0,0,0.129222482332659,6.70815107815945E-05,-2.82308867566028E-06,-1.51019032725467E-09,8.37829581102763E-05,7.08139818916576E-07,9.58407464978494E-05,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/bicep_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/bicep_left.STL,,bicep_left-1,Origin_biceplift_left,Axis_biceplift_left,biceplift_left,continuous,0,0,0.062476610561002,1.5707963267949,0,3.14159265358979,shoulder_left,1,0,0,,,,,,,,,,,,
forearm_left,-0.00226338017782454,-0.0519546439430536,-5.92574448659983E-05,0,0,0,0.0596002990474708,2.68528473300664E-05,-3.29236643344899E-07,-1.28343607503142E-09,2.38570964743196E-05,-5.60140664333242E-08,3.15383018777466E-05,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/forearm_left.STL,,forearm_left-1,Origin_elbow_left,Axis_elbow_left,elbow_left,continuous,0.003175,0.1033,0,0,-1.5708,3.1416,bicep_left,1,0,0,,,,,,,,,,,,
wrist_left,-0.0015214666768102,-0.0276426736485873,0.000115338799611342,0,0,0,0.0541322074488871,1.61733978528101E-05,-3.05165360219931E-07,6.89491663474225E-10,1.01313079065358E-05,9.1900351053428E-11,1.61328623785763E-05,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/wrist_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/wrist_left.STL,,wrist_left-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,continuous,-0.00240000000000003,-0.0787000000000003,-0.0127999999982001,3.14159265358979,0,3.14159265358979,forearm_left,0,1,0,,,,,,,,,,,,
hand_left,8.94966543739245E-05,0.0805799031360248,-0.00345666952466564,0,0,0,0.096892060613452,3.07955608410216E-05,-9.92458606583977E-08,-9.7132378649099E-09,1.71973885038783E-05,-1.73178735002994E-06,3.2646580681294E-05,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/hand_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/hand_left.STL,,hand_left-1,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,continuous,0,-0.0428000000000002,0.000124999999999396,3.13301245342782,-1.57079232717222,-0.00858020528131218,wrist_left,0,0.0171595632243,-0.999852763847735,,,,,,,,,,,,
gripper_left,0.0122008952528579,0.0244705015917694,0.00172483795757493,0,0,0,0.0132238158471976,5.75385834485265E-06,-3.19574418659569E-07,1.07490582425321E-11,4.0969349883067E-06,-1.27813718825034E-12,3.06625639532594E-06,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/gripper_left.STL,,gripper_left-1,Origin_gripper_left,Axis_gripper_left,gripper_left,continuous,-0.00012499975293525,0.117035130167948,-0.0030731306896986,1.57056328390166,-1.55363592088544,-1.57056324958431,hand_left,0,0,0.999999999992002,,,,,,,,,,,,
shoulder_right,-0.00389447899959798,0.000496822237510894,-0.0253442019372677,0,0,0,0.197219674733325,0.000105627601817094,3.27426401953392E-06,-3.15133991744824E-06,0.000121951090664024,-2.84894107495893E-06,0.000166845175439258,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Humanoid_URDF_9-10/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,continuous,-0.0921,-0.051,0.033,1.5708,0,1.5708,chest,0,0,1,,,,,,,,,,,,
